Record Type,PO Number,PO Number.1,PO Number.2,Chg,Com,Type,Conf,Order Date,Buyer,Account Number,Supplier,Curr,Item,Commodity Code,Description,Qty,Un,Order Value,Amount Invoiced,Unnamed: 20,WBS Code,Contract,Remarks
ttOrder,3093/M00002,3093/M00002,3093/M00002,V001,Y,N,Y,04/08/2023,bstormon,BUNN04,Bunnings - QLD,AUD,1.0,MATS-001,Job Start Up Misc,1000.0,EA,1000.0,997.97,,N001070,3093.0,Order Complete
ttOrder,3093/M00002,3093/M00002,3093/M00002,V001,Y,N,Y,04/08/2023,bstormon,BUNN04,Bunnings - QLD,AUD,2.0,MATS-001,LEVEL SPIRIT EMPIRE 1200MM DIGITAL,171.86,EA,171.86,171.86,,N001070,3093.0,Order Complete
ttOrder,3093/M00003,3093/M00003,3093/M00003,V001,Y,N,Y,31/07/2023,bstormon,OFFI10,Officeworks Superstores P/L,AUD,1.0,MATS-001,Samsung Tablet,3.0,EA,1437.27,1437.27,,N002190,3093.0,Order Complete
ttOrder,3093/M00003,3093/M00003,3093/M00003,V001,Y,N,Y,31/07/2023,bstormon,OFFI10,Officeworks Superstores P/L,AUD,2.0,MATS-001,Cases,3.0,EA,188.19,188.19,,N002190,3093.0,Order Complete
ttOrder,3093/M00003,3093/M00003,3093/M00003,V001,Y,N,Y,31/07/2023,bstormon,OFFI10,Officeworks Superstores P/L,AUD,3.0,MATS-001,Screen protectors,3.0,EA,106.35,106.35,,N002190,3093.0,Order Complete
ttOrder,3093/M00003,3093/M00003,3093/M00003,V001,Y,N,Y,31/07/2023,bstormon,OFFI10,Officeworks Superstores P/L,AUD,4.0,MATS-001,Tablet,36.36,EA,36.36,36.36,,N002190,3093.0,Order Complete
ttOrder,3093/M00005,3093/M00005,3093/M00005,V001,Y,N,Y,04/08/2023,bstormon,REA001,Reali Supply,AUD,1.0,MATS-001,Argyle Zip Sided 150mm Derby Style Lace-Up Safety Boot,1.0,EA,192.6,192.6,,N003001,3093.0,Order Complete
ttOrder,3093/M00005,3093/M00005,3093/M00005,V001,Y,N,Y,04/08/2023,bstormon,REA001,Reali Supply,AUD,2.0,MATS-001,Hi Vis Soft Shell Jacket with 3M Tape,1.0,EA,80.75,80.75,,N003001,3093.0,Order Complete
ttOrder,3093/M00005,3093/M00005,3093/M00005,V001,Y,N,Y,04/08/2023,bstormon,REA001,Reali Supply,AUD,3.0,MATS-001,Cotton Drill Taped Cargo Pants - Navy,3.0,EA,68.85,68.85,,N003001,3093.0,Order Complete
ttOrder,3093/M00005,3093/M00005,3093/M00005,V001,Y,N,Y,04/08/2023,bstormon,REA001,Reali Supply,AUD,4.0,MATS-001,Men's Lightweight Taped Two Tone Long Sleeve Shirt - Yellow/Navy,5.0,EA,168.65,168.65,,N003001,3093.0,Order Complete
ttOrder,3093/M00005,3093/M00005,3093/M00005,V001,Y,N,Y,04/08/2023,bstormon,REA001,Reali Supply,AUD,5.0,MATS-001,Vented Hard Hat Type 1 with Georgiou Pad Print,1.0,EA,13.82,13.8,,N003001,3093.0,Order Complete
ttOrder,3093/M00006,3093/M00006,3093/M00006,V001,Y,N,Y,21/08/2023,bstormon,EUR003,Europcar WA,AUD,1.0,OTH01,Other Charges (Hire Desk Use Only),0.0,NO,0.0,0.0,,N002110,3093.0,Order Complete
ttOrder,3093/M00006,3093/M00006,3093/M00006,V001,Y,N,Y,21/08/2023,bstormon,EUR003,Europcar WA,AUD,2.0,MATS-001,Car hire,645.26,EA,645.26,0.0,,N002110,3093.0,Order Complete
ttOrder,3093/M00007,3093/M00007,3093/M00007,V001,Y,N,Y,10/08/2023,bstormon,REA001,Reali Supply,AUD,1.0,MATS-001,Argyle Zip Sided 150mm Derby Style Lace-Up Safety Boot,1.0,EA,192.6,192.6,,N003001,3093.0,Order Complete
ttOrder,3093/M00007,3093/M00007,3093/M00007,V001,Y,N,Y,10/08/2023,bstormon,REA001,Reali Supply,AUD,2.0,MATS-001,Vented Hard Hat Type 1 with Georgiou Pad Print,1.0,EA,13.82,13.82,,N003001,3093.0,Order Complete
ttOrder,3093/M00007,3093/M00007,3093/M00007,V001,Y,N,Y,10/08/2023,bstormon,REA001,Reali Supply,AUD,3.0,MATS-001,Cotton Drill Taped Cargo Pants - Nav,2.0,EA,45.9,45.9,,N003001,3093.0,Order Complete
ttOrder,3093/M00007,3093/M00007,3093/M00007,V001,Y,N,Y,10/08/2023,bstormon,REA001,Reali Supply,AUD,4.0,MATS-001,Men's Lightweight Taped Two Tone Long Sleeve Shirt - Yellow/Navy,5.0,EA,168.65,168.63,,N003001,3093.0,Order Complete
ttOrder,3093/M00007,3093/M00007,3093/M00007,V001,Y,N,Y,10/08/2023,bstormon,REA001,Reali Supply,AUD,5.0,MATS-001,Hi Vis Soft Shell Jacket with 3M Tape,1.0,EA,80.75,80.75,,N003001,3093.0,Order Complete
ttOrder,3093/M00008,3093/M00008,3093/M00008,V001,Y,N,N,10/08/2023,bstormon,TELC01,Telco Antennas Pty Ltd,AUD,1.0,MATS-001,Telstra and Optus survey for 4-20 Lorrimer,1.0,EA,180.0,160.0,,N002191,3093.0,Order Complete
ttOrder,3093/M00009,3093/M00009,3093/M00009,V001,Y,N,Y,24/08/2023,bstormon,JOBF01,Jobfit Health Group Pty Ltd,AUD,1.0,MATS-001,Jacob Moss - Medical Full,1.0,EA,629.0,629.0,,N001021,3093.0,Order Complete
ttOrder,3093/M00009,3093/M00009,3093/M00009,V001,Y,N,Y,24/08/2023,bstormon,JOBF01,Jobfit Health Group Pty Ltd,AUD,2.0,MATS-001,Medical,38.0,EA,38.0,38.0,,N001021,3093.0,Order Complete
ttOrder,3093/M00010,3093/M00010,3093/M00010,V002,Y,N,Y,18/08/2023,bstormon,SUC001,Success Realty (QLD),AUD,1.0,MATS-001,Rent and Bond 44A Gordon,1.0,EA,4000.0,3636.36,,N001021,3093.0,Order Complete
ttOrder,3093/M00010,3093/M00010,3093/M00010,V002,Y,N,Y,18/08/2023,bstormon,SUC001,Success Realty (QLD),AUD,2.0,MATS-001,Rent and Bond 2/4 Waverley,1.0,EA,3600.0,3272.73,,N001021,3093.0,Order Complete
ttOrder,3093/M00010,3093/M00010,3093/M00010,V002,Y,N,Y,18/08/2023,bstormon,SUC001,Success Realty (QLD),AUD,3.0,MATS-001,Rent and Bond 5/77 Anzac,1.0,EA,4320.0,3927.28,,N001021,3093.0,Order Complete
ttOrder,3093/M00010,3093/M00010,3093/M00010,V002,Y,N,Y,18/08/2023,bstormon,SUC001,Success Realty (QLD),AUD,4.0,MATS-001,Rent and Bond 1/15 Wapiti,1.0,EA,3090.91,3090.91,,N001021,3093.0,Order Complete
ttOrder,3093/M00010,3093/M00010,3093/M00010,V002,Y,N,Y,18/08/2023,bstormon,SUC001,Success Realty (QLD),AUD,5.0,MATS-001,Rent and Bond 1/9 Sunning,1.0,EA,3163.63,3163.63,,N001021,3093.0,Order Complete
ttOrder,3093/M00010,3093/M00010,3093/M00010,V002,Y,N,Y,18/08/2023,bstormon,SUC001,Success Realty (QLD),AUD,6.0,MATS-001,Rent and Bond 1/46 McGee,1.0,EA,4000.0,4000.0,,N001021,3093.0,Order Complete
ttOrder,3093/M00011,3093/M00011,3093/M00011,V002,Y,N,Y,15/08/2023,bstormon,ORAC02,Oracle Corporation Aust P/L,AUD,1.0,MATS-001,Sept-Nov,1.0,EA,29037.17,29037.16,,N002190,3093.0,Order Complete
ttOrder,3093/M00011,3093/M00011,3093/M00011,V002,Y,N,Y,15/08/2023,bstormon,ORAC02,Oracle Corporation Aust P/L,AUD,2.0,MATS-001,Dec-Feb,1.0,EA,29037.17,0.0,,N002190,3093.0,Order Complete
ttOrder,3093/M00011,3093/M00011,3093/M00011,V002,Y,N,Y,15/08/2023,bstormon,ORAC02,Oracle Corporation Aust P/L,AUD,3.0,MATS-001,Mar-May,1.0,EA,29037.17,0.0,,N002190,3093.0,Order Complete
ttOrder,3093/M00011,3093/M00011,3093/M00011,V002,Y,N,Y,15/08/2023,bstormon,ORAC02,Oracle Corporation Aust P/L,AUD,4.0,MATS-001,June-Aug,1.0,EA,29037.17,0.0,,N002190,3093.0,Order Complete
ttOrder,3093/M00011,3093/M00011,3093/M00011,V002,Y,N,Y,15/08/2023,bstormon,ORAC02,Oracle Corporation Aust P/L,AUD,5.0,MATS-001,Sept-Oct,1.0,EA,19358.11,0.0,,N002190,3093.0,Order Complete
ttOrder,3093/M00012,3093/M00012,3093/M00012,V001,Y,N,Y,23/08/2023,bstormon,JOBF01,Jobfit Health Group Pty Ltd,AUD,1.0,MATS-001,Shane Robinson - Full Medical,1.0,EA,629.0,629.0,,N001021,3093.0,Order Complete
ttOrder,3093/M00012,3093/M00012,3093/M00012,V001,Y,N,Y,23/08/2023,bstormon,JOBF01,Jobfit Health Group Pty Ltd,AUD,2.0,MATS-001,Medical,38.0,EA,38.0,38.0,,N001021,3093.0,Order Complete
ttOrder,3093/M00013,3093/M00013,3093/M00013,V001,Y,N,Y,24/08/2023,bstormon,JOBF01,Jobfit Health Group Pty Ltd,AUD,1.0,MATS-001,Jobfit Basic Medical - Michael Swadling,1.0,EA,233.0,233.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00013,3093/M00013,3093/M00013,V001,Y,N,Y,24/08/2023,bstormon,JOBF01,Jobfit Health Group Pty Ltd,AUD,2.0,MATS-001,Medical,10.0,EA,10.0,10.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00014,3093/M00014,3093/M00014,V003,Y,N,Y,10/10/2023,bstormon,MAST09,Master Hire,AUD,1.0,MATS-001,Contract 142933-01 - Enclosed Furniture,1.0,EA,413.22,413.22,,N031001,3093.0,Order Complete
ttOrder,3093/M00014,3093/M00014,3093/M00014,V003,Y,N,Y,10/10/2023,bstormon,MAST09,Master Hire,AUD,2.0,MATS-001,ENCLOSED FURNITURE TRAILER - TANDEM,1.0,EA,767.41,767.41,,N031001,3093.0,Order Complete
ttOrder,3093/M00014,3093/M00014,3093/M00014,V003,Y,N,Y,10/10/2023,bstormon,MAST09,Master Hire,AUD,3.0,MATS-001,ENCLOSED FURNITURE TRAILER - TANDEM,4.0,EA,545.44,531.28,,N031001,3093.0,Order Complete
ttOrder,3093/M00015,3093/M00015,3093/M00015,V001,Y,N,Y,20/09/2023,cmacdonald,HJDI01,Jaybro Group Pty Ltd (formerl,AUD,1.0,MATS-001,Prefilled Silt Sausage 200x1300mm of 120 @,120.0,EA,4678.8,4678.8,,N002110,3093.0,Order Complete
ttOrder,3093/M00015,3093/M00015,3093/M00015,V001,Y,N,Y,20/09/2023,cmacdonald,HJDI01,Jaybro Group Pty Ltd (formerl,AUD,2.0,MATS-001,Stake Hardwood 50x25x1200mm Painted,144.0,EA,936.0,936.0,,N002110,3093.0,Order Complete
ttOrder,3093/M00015,3093/M00015,3093/M00015,V001,Y,N,Y,20/09/2023,cmacdonald,HJDI01,Jaybro Group Pty Ltd (formerl,AUD,3.0,MATS-001,FREIGHT-REGIONAL,1.0,EA,135.0,135.0,,N002110,3093.0,Order Complete
ttOrder,3093/M00015,3093/M00015,3093/M00015,V001,Y,N,Y,20/09/2023,cmacdonald,HJDI01,Jaybro Group Pty Ltd (formerl,AUD,4.0,MATS-001,REIGHT-REGIONAL,1.0,EA,345.0,345.0,,N001903,3093.0,Order Complete
ttOrder,3093/M00016,3093/M00016,3093/M00016,V001,Y,N,Y,04/09/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,1.0,MATS-001,SIGNMM6060] Multi Message Sign 600 x 600mm,24.0,EA,912.0,912.0,,N002110,3093.0,Order Complete
ttOrder,3093/M00016,3093/M00016,3093/M00016,V001,Y,N,Y,04/09/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,2.0,MATS-001,[SIGNMM6060] Multi Message Sign 600 x 600mm,24.0,EA,1512.0,1512.0,,N002110,3093.0,Order Complete
ttOrder,3093/M00016,3093/M00016,3093/M00016,V001,Y,N,Y,04/09/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,3.0,MATS-001,[SIGNMM1230] Multi Message Sign 1200 x 300mm,24.0,EA,912.0,912.0,,N002110,3093.0,Order Complete
ttOrder,3093/M00016,3093/M00016,3093/M00016,V001,Y,N,Y,04/09/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,4.0,MATS-001,[SIGNCUST] Custom Design Sign - Magnetic,24.0,EA,450.0,450.0,,N002110,3093.0,Order Complete
ttOrder,3093/M00016,3093/M00016,3093/M00016,V001,Y,N,Y,04/09/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,5.0,MATS-001,SIGNMMF] Multi Message Sign Frame - Black,35.0,EA,1461.25,1461.25,,N002110,3093.0,Order Complete
ttOrder,3093/M00016,3093/M00016,3093/M00016,V001,Y,N,Y,04/09/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,6.0,MATS-001,[SIGNBPOD] Safety Sign Bi Pod Multi Message,70.0,EA,1204.0,760.0,,N002110,3093.0,Order Complete
ttOrder,3093/M00016,3093/M00016,3093/M00016,V001,Y,N,Y,04/09/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,7.0,MATS-001,Delivery - MET,1.0,EA,17.2,17.2,,N002110,3093.0,Order Complete
ttOrder,3093/M00016,3093/M00016,3093/M00016,V001,Y,N,Y,04/09/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,8.0,MATS-001,Safety Sign Bi Pod Multi Message Leg Only,30.0,EA,570.0,570.0,,N002110,3093.0,Order Complete
ttOrder,3093/M00017,3093/M00017,3093/M00017,V001,Y,N,Y,16/08/2023,jmtaylor,BUNN04,Bunnings - QLD,AUD,1.0,MATS-001,8195/01533508 Tool Box checkerplate,1.0,EA,301.41,301.41,,N002110,3093.0,Order Complete
ttOrder,3093/M00017,3093/M00017,3093/M00017,V001,Y,N,Y,16/08/2023,jmtaylor,BUNN04,Bunnings - QLD,AUD,2.0,MATS-001,"Flagging, Tape Measures, Sledge Hammer,",1.0,EA,367.24,367.24,,N002110,3093.0,Order Complete
ttOrder,3093/M00018,3093/M00018,3093/M00018,V001,Y,N,Y,16/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,1.0,MATS-001,[T-TOPTOP] T-top Bollard Top Only,100.0,EA,1090.0,1090.0,,N002110,3093.0,Order Complete
ttOrder,3093/M00018,3093/M00018,3093/M00018,V001,Y,N,Y,16/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,2.0,MATS-001,[T-TOPBASE8] T-top Bollard 8KG Base only,100.0,EA,1391.0,1391.0,,N002110,3093.0,Order Complete
ttOrder,3093/M00018,3093/M00018,3093/M00018,V001,Y,N,Y,16/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,3.0,MATS-001,[SMP350FPK] DYMARK Spray and Mark Layout Paint; Fluro Pink 350gram (ea/12box),72.0,EA,478.09,478.09,,N002110,3093.0,Order Complete
ttOrder,3093/M00018,3093/M00018,3093/M00018,V001,Y,N,Y,16/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,4.0,DEL01,Delivery - Regional,1.0,NO,32.9,32.9,,N002110,3093.0,Order Complete
ttOrder,3093/M00019,3093/M00019,3093/M00019,V001,Y,N,Y,17/08/2023,bstormon,OFFI10,Officeworks Superstores P/L,AUD,1.0,MATS-001,Tablets,15.0,EA,20413.65,20413.63,,N002190,3093.0,Order Complete
ttOrder,3093/M00019,3093/M00019,3093/M00019,V001,Y,N,Y,17/08/2023,bstormon,OFFI10,Officeworks Superstores P/L,AUD,2.0,MATS-001,Tablet covers,15.0,EA,1500.0,1500.0,,N002190,3093.0,Order Complete
ttOrder,3093/M00020,3093/M00020,3093/M00020,V001,Y,N,Y,28/08/2023,bstormon,HEAN01,Heaneys Performers in Print,AUD,1.0,MATS-001,TASK HAZARD REVIEW CARD,728.0,EA,728.0,728.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00020,3093/M00020,3093/M00020,V001,Y,N,Y,28/08/2023,bstormon,HEAN01,Heaneys Performers in Print,AUD,2.0,MATS-001,Plant stickers,625.0,EA,625.0,625.0,,N003001,3093.0,Order Complete
